level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,upgradeReward,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,Lumber_opt,time_cumulative(days),elementalEmber_cumulative,electrumBar_cumulative,cosmicCharge_cumulative,Lumber_cumulative,cumulative_rubble,XP,XP_cumulative
1,electrumBar:25,60,electrumBar,25,100,100,experience:1,60,0,25,0,0,0.0006944444444,0,25,0,0,127.2536389,1,1
2,piercing:208,450,piercing,208,100,100,experience:13,450,0,0,0,208,0.005902777778,0,25,0,208,128.2746806,13,14
3,electrumBar:50,1920,electrumBar,50,100,100,experience:60,1920,0,50,0,0,0.028125,0,75,0,208,386.866125,60,74
4,piercing:861,3952,piercing,861,100,100,experience:140,3952,0,0,0,861,0.07386574074,0,75,0,1069,395.8331399,140,214
5,electrumBar:75,9094,electrumBar,75,100,100,experience:240,9094,0,75,0,0,0.1791203704,0,150,0,1069,797.8197577,240,454
6,piercing:1894,14580,piercing,1894,100,100,experience:405,14580,0,0,0,1894,0.3478703704,0,150,0,2963,830.901508,405,859
7,electrumBar:100,23040,electrumBar,100,100,100,experience:600,23040,0,100,0,0,0.614537037,0,250,0,2963,1391.648842,600,1459
8,piercing:3714,28800,piercing,3714,100,100,experience:600,28800,0,0,0,3714,0.9478703704,0,250,0,6677,1456.995509,600,2059
9,electrumBar:150,35100,electrumBar,150,100,100,experience:750,35100,0,150,0,0,1.35412037,0,400,0,6677,2299.34176,750,2809
10,piercing:8712,41559,piercing,8712,100,100,experience:912,41559,0,0,0,8712,1.835127315,0,400,0,15389,2393.638362,912,3721
11,electrumBar:200,51896,electrumBar,200,50,50,experience:936,25948,0,100,0,0,2.135451389,0,500,0,15389,2960.983894,936,4657
12,piercing:17819,66355,piercing,17819,50,50,experience:1280,33178,0,0,0,8910,2.519456019,0,500,0,24299,3036.264162,1280,5937
13,electrumBar:250,103561,electrumBar,250,50,50,experience:1644,51781,0,125,0,0,3.118773148,0,625,0,24299,3789.341793,1644,7581
14,piercing:38115,137915,piercing,38115,50,50,experience:1691,68958,0,0,0,19058,3.916898148,0,625,0,43357,3945.806219,1691,9272
15,electrumBar:300,177093,electrumBar,300,50,50,experience:2087,88547,0,150,0,0,4.941747685,0,775,0,43357,4909.422724,2087,11359
16,piercing:57617,219927,piercing,57617,50,50,experience:2546,109964,0,0,0,28809,6.214479167,0,775,0,72166,5158.929006,2546,13905
17,electrumBar:350,297600,electrumBar,350,50,50,experience:3048,148800,0,175,0,0,7.936701389,0,950,0,72166,6386.375953,3048,16953
18,piercing:86400,345600,piercing,86400,50,50,experience:4000,172800,0,0,0,43200,9.936701389,0,950,0,115366,6778.455956,4000,20953
19,electrumBar:400,388800,electrumBar,400,50,10,experience:5334,38880,0,200,0,0,10.38670139,0,1150,0,115366,7883.613957,5334,26287
20,piercing:154799,432000,piercing,154799,50,10,experience:7000,43200,0,0,0,77400,10.88670139,0,1150,0,192766,7981.633958,7000,33287
21,electrumBar:450,518400,electrumBar,450,50,10,experience:9143,51840,0,225,0,0,11.48670139,0,1375,0,192766,9243.315459,9143,42430
22,piercing:219599,604800,piercing,219599,50,10,experience:12000,60480,0,0,0,109800,12.18670139,0,1375,0,302566,9380.54346,12000,54430
23,electrumBar:500,691200,electrumBar,500,50,10,experience:16000,69120,0,250,0,0,12.98670139,0,1625,0,302566,10808.55046,16000,70430
24,piercing:269232,864000,piercing,269232,50,10,experience:17600,86400,0,0,0,134616,13.98670139,0,1625,0,437182,11004.59046,17600,88030
25,electrumBar:550,864000,electrumBar,550,50,10,experience:19200,86400,0,275,0,0,14.98670139,0,1900,0,437182,12598.92296,19200,107230
26,piercing:340800,936000,piercing,340800,50,10,experience:20800,93600,0,0,0,170400,16.07003472,0,1900,0,607582,12811.29963,20800,128030
27,electrumBar:600,1080000,electrumBar,600,50,10,experience:24000,108000,0,300,0,0,17.32003472,0,2200,0,607582,14581.75963,24000,152030
28,piercing:422592,1152000,piercing,422592,50,10,experience:25600,115200,0,0,0,211296,18.65336806,0,2200,0,818878,14843.1463,25600,177630
29,electrumBar:650,1224000,electrumBar,650,50,10,experience:27200,122400,0,325,0,0,20.07003472,0,2525,0,818878,16773.39714,27200,204830
30,piercing:504384,1224000,piercing,504384,50,10,experience:30400,122400,0,0,0,252192,21.48670139,0,2525,0,1071070,17051.12047,30400,235230
