level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,upgradeReward,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,Lumber_opt,time_cumulative(days),elementalEmber_cumulative,electrumBar_cumulative,cosmicCharge_cumulative,Lumber_cumulative,cumulative_rubble,XP,XP_cumulative
1,piercing:12,990,piercing,12,100,100,experience:28,990,0,0,0,12,0.01145833333,0,0,0,12,2.246291685,28,28
2,piercing:208,3510,piercing,208,100,100,experience:98,3510,0,0,0,208,0.05208333333,0,0,0,220,10.21041675,98,126
3,piercing:463,7200,piercing,463,100,100,experience:225,7200,0,0,0,463,0.1354166667,0,0,0,683,26.54708355,225,351
4,piercing:861,10800,piercing,861,100,100,experience:383,10800,0,0,0,861,0.2604166667,0,0,0,1544,51.05208375,383,734
5,piercing:1463,16200,piercing,1463,100,100,experience:428,16200,0,0,0,1463,0.4479166667,0,0,0,3007,87.80958405,428,1162
6,piercing:1894,21600,piercing,1894,100,100,experience:600,21600,0,0,0,1894,0.6979166667,0,0,0,4901,136.8195845,600,1762
7,piercing:2698,28800,piercing,2698,100,100,experience:750,28800,0,0,0,2698,1.03125,0,0,0,7599,202.1662517,750,2512
8,piercing:3714,36000,piercing,3714,100,100,experience:750,36000,0,0,0,3714,1.447916667,0,0,0,11313,283.8495857,750,3262
9,piercing:5703,43200,piercing,5703,100,100,experience:924,43200,0,0,0,5703,1.947916667,0,0,0,17016,381.8695865,924,4186
10,piercing:8712,57600,piercing,8712,100,100,experience:1264,57600,0,0,0,8712,2.614583333,0,0,0,25728,512.5629209,1264,5450
11,piercing:12869,72000,piercing,12869,50,50,experience:1298,36000,0,0,0,6435,3.03125,0,0,0,32163,594.2462549,1298,6748
12,piercing:17819,86400,piercing,17819,50,50,experience:1667,43200,0,0,0,8910,3.53125,0,0,0,41073,692.2662557,1667,8415
13,piercing:26927,129600,piercing,26927,50,50,experience:2058,64800,0,0,0,13464,4.28125,0,0,0,54537,839.2962569,2058,10473
14,piercing:38115,172800,piercing,38115,50,50,experience:2118,86400,0,0,0,19058,5.28125,0,0,0,73595,1035.336258,2118,12591
15,piercing:51677,216000,piercing,51677,50,50,experience:2546,108000,0,0,0,25839,6.53125,0,0,0,99434,1280.38626,2546,15137
16,piercing:57617,259200,piercing,57617,50,50,experience:3000,129600,0,0,0,28809,8.03125,0,0,0,128243,1574.446263,3000,18137
17,piercing:77039,302400,piercing,77039,50,50,experience:3097,151200,0,0,0,38520,9.78125,0,0,0,166763,1917.516266,3097,21234
18,piercing:86400,345600,piercing,86400,50,50,experience:4000,172800,0,0,0,43200,11.78125,0,0,0,209963,2309.596269,4000,25234
19,piercing:129598,388800,piercing,129598,50,10,experience:5334,38880,0,0,0,64799,12.23125,0,0,0,274762,2397.81427,5334,30568
20,piercing:154799,432000,piercing,154799,50,10,experience:7000,43200,0,0,0,77400,12.73125,0,0,0,352162,2495.83427,7000,37568
21,piercing:187199,518400,piercing,187199,50,10,experience:9143,51840,0,0,0,93600,13.33125,0,0,0,445762,2613.458271,9143,46711
22,piercing:219599,604800,piercing,219599,50,10,experience:12000,60480,0,0,0,109800,14.03125,0,0,0,555562,2750.686272,12000,58711
23,piercing:251999,691200,piercing,251999,50,10,experience:16000,69120,0,0,0,126000,14.83125,0,0,0,681562,2907.518274,16000,74711
24,piercing:269232,864000,piercing,269232,50,10,experience:17600,86400,0,0,0,134616,15.83125,0,0,0,816178,3103.558275,17600,92311
25,piercing:299904,864000,piercing,299904,50,10,experience:19200,86400,0,0,0,149952,16.83125,0,0,0,966130,3299.598277,19200,111511
26,piercing:340800,936000,piercing,340800,50,10,experience:20800,93600,0,0,0,170400,17.91458333,0,0,0,1136530,3511.974945,20800,132311
27,piercing:381696,1080000,piercing,381696,50,10,experience:24000,108000,0,0,0,190848,19.16458333,0,0,0,1327378,3757.024947,24000,156311
28,piercing:422592,1152000,piercing,422592,50,10,experience:25600,115200,0,0,0,211296,20.49791667,0,0,0,1538674,4018.411616,25600,181911
29,piercing:463488,1224000,piercing,463488,50,10,experience:27200,122400,0,0,0,231744,21.91458333,0,0,0,1770418,4296.134952,27200,209111
30,piercing:504384,1224000,piercing,504384,50,10,experience:30400,122400,0,0,0,252192,23.33125,0,0,0,2022610,4573.858287,30400,239511
31,piercing:545280,1370990,piercing,545280,50,10,experience:32000,137099,0,0,0,272640,24.91804398,0,0,0,2295250,4884.933382,32000,271511
32,piercing:586176,1468800,piercing,586176,50,10,experience:33600,146880,0,0,0,293088,26.61804398,0,0,0,2588338,5218.201385,33600,305111
33,piercing:627072,1566720,piercing,627072,50,10,experience:33600,156672,0,0,0,313536,28.43137731,0,0,0,2901874,5573.687254,33600,338711
34,piercing:667968,1664640,piercing,667968,50,10,experience:33600,166464,0,0,0,333984,30.35804398,0,0,0,3235858,5951.390991,33600,372311
35,piercing:708864,1762560,piercing,708864,50,10,experience:33600,176256,0,0,0,354432,32.39804398,0,0,0,3590290,6351.312594,33600,405911
36,piercing:749760,1762560,piercing,749760,50,10,experience:33600,176256,0,0,0,374880,34.43804398,0,0,0,3965170,6751.234197,33600,439511
37,piercing:790656,1762560,piercing,790656,50,10,experience:33600,176256,0,0,0,395328,36.47804398,0,0,0,4360498,7151.1558,33600,473111
38,piercing:831552,1762560,piercing,831552,50,10,experience:33600,176256,0,0,0,415776,38.51804398,0,0,0,4776274,7551.077404,33600,506711
39,piercing:872448,1762560,piercing,872448,50,10,experience:33600,176256,0,0,0,436224,40.55804398,0,0,0,5212498,7950.999007,33600,540311
40,piercing:913344,1762560,piercing,913344,50,10,experience:33600,176256,0,0,0,456672,42.59804398,0,0,0,5669170,8350.92061,33600,573911
41,piercing:954240,2290604,piercing,954240,50,10,experience:35349,229061,0,0,0,477120,45.24921296,0,0,0,6146290,8870.655782,35349,609260
42,piercing:995136,2743903,piercing,995136,50,10,experience:42345,274391,0,0,0,497568,48.42503472,0,0,0,6643858,9493.243884,42345,651605
43,piercing:1036032,3197201,piercing,1036032,50,10,experience:49340,319721,0,0,0,518016,52.12550926,0,0,0,7161874,10218.68492,49340,700945
44,piercing:1076928,3650500,piercing,1076928,50,10,experience:56335,365050,0,0,0,538464,56.350625,0,0,0,7700338,11046.97662,56335,757280
45,piercing:1117824,4103799,piercing,1117824,50,10,experience:63331,410380,0,0,0,558912,61.10039352,0,0,0,8259250,11978.12124,63331,820611
46,piercing:1158720,4177339,piercing,1158720,50,10,experience:70326,417734,0,0,0,579360,65.93527778,0,0,0,8838610,12925.95196,70326,890937
47,piercing:1199616,4314507,piercing,1199616,50,10,experience:77321,431451,0,0,0,599808,70.92892361,0,0,0,9438418,13904.9063,77321,968258
48,piercing:1240512,4553079,piercing,1240512,50,10,experience:84317,455308,0,0,0,620256,76.19869213,0,0,0,10058674,14937.99173,84317,1052575
49,piercing:1281408,4602106,piercing,1281408,50,10,experience:91312,460211,0,0,0,640704,81.52520833,0,0,0,10699378,15982.20197,91312,1143887
50,piercing:1322304,4777719,piercing,1322304,50,10,experience:98307,477772,0,0,0,661152,87.05497685,0,0,0,11360530,17066.2578,98307,1242194
51,piercing:1342752,5000000,piercing,1342752,50,10,experience:101805,500000,0,0,0,671376,92.84201389,0,0,0,12031906,18200.74855,101805,1343999
52,piercing:1363200,5000000,piercing,1363200,50,10,experience:105303,500000,0,0,0,681600,98.62905093,0,0,0,12713506,19335.2393,105303,1449302
53,piercing:1383648,5000000,piercing,1383648,50,10,experience:106000,500000,0,0,0,691824,104.416088,0,0,0,13405330,20469.73005,106000,1555302
54,piercing:1404096,5000000,piercing,1404096,50,10,experience:106000,500000,0,0,0,702048,110.203125,0,0,0,14107378,21604.2208,106000,1661302
55,piercing:1424544,5000000,piercing,1424544,50,10,experience:106000,500000,0,0,0,712272,115.990162,0,0,0,14819650,22738.71155,106000,1767302
56,piercing:1444992,5000000,piercing,1444992,50,10,experience:106000,500000,0,0,0,722496,121.7771991,0,0,0,15542146,23873.2023,106000,1873302
57,piercing:1465440,5000000,piercing,1465440,50,10,experience:106000,500000,0,0,0,732720,127.5642361,0,0,0,16274866,25007.69305,106000,1979302
