level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,upgradeReward,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,Lumber_opt,time_cumulative(days),elementalEmber_cumulative,electrumBar_cumulative,cosmicCharge_cumulative,Lumber_cumulative,cumulative_rubble,XP,XP_cumulative
1,electrumBar:25,990,electrumBar,25,100,100,experience:28,990,0,25,0,0,0.01145833333,0,25,0,0,129.3637917,28,28
2,piercing:208,3510,piercing,208,100,100,experience:98,3510,0,0,0,208,0.05208333333,0,25,0,208,137.3279168,98,126
3,electrumBar:50,7200,electrumBar,50,100,100,experience:225,7200,0,50,0,0,0.1354166667,0,75,0,208,407.8995836,225,351
4,piercing:861,10800,piercing,861,100,100,experience:383,10800,0,0,0,861,0.2604166667,0,75,0,1069,432.4045838,383,734
5,electrumBar:75,16200,electrumBar,75,100,100,experience:428,16200,0,75,0,0,0.4479166667,0,150,0,1069,850.5145841,428,1162
6,piercing:1894,21600,piercing,1894,100,100,experience:600,21600,0,0,0,1894,0.6979166667,0,150,0,2963,899.5245845,600,1762
7,electrumBar:100,28800,electrumBar,100,100,100,experience:750,28800,0,100,0,0,1.03125,0,250,0,2963,1473.341252,750,2512
8,piercing:3714,36000,piercing,3714,100,100,experience:750,36000,0,0,0,3714,1.447916667,0,250,0,6677,1555.024586,750,3262
9,electrumBar:150,43200,electrumBar,150,100,100,experience:924,43200,0,150,0,0,1.947916667,0,400,0,6677,2415.749586,924,4186
10,piercing:8712,57600,piercing,8712,100,100,experience:1264,57600,0,0,0,8712,2.614583333,0,400,0,15389,2546.442921,1264,5450
11,electrumBar:200,72000,electrumBar,200,50,50,experience:1298,36000,0,100,0,0,3.03125,0,500,0,15389,3136.596255,1298,6748
12,piercing:17819,86400,piercing,17819,50,50,experience:1667,43200,0,0,0,8910,3.53125,0,500,0,24299,3234.616256,1667,8415
13,electrumBar:250,129600,electrumBar,250,50,50,experience:2058,64800,0,125,0,0,4.28125,0,625,0,24299,4017.233757,2058,10473
14,piercing:38115,172800,piercing,38115,50,50,experience:2118,86400,0,0,0,19058,5.28125,0,625,0,43357,4213.273758,2118,12591
15,electrumBar:300,216000,electrumBar,300,50,50,experience:2546,108000,0,150,0,0,6.53125,0,775,0,43357,5221.02876,2546,15137
