level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,time_culmative(days),elementalEmber_culmative,electrumBar_culmative,cosmicCharge_culmative,culmative_rubble,upgradeReward,XP,XP_culmative
1,electrumBar:25,60,electrumBar,25,100,100,60,0,25,0,0.000694444,0,25,0,127.2536389,experience:1,1,1
2,piercing:208,450,piercing,208,100,100,450,0,0,0,0.005902778,0,25,0,128.2746806,experience:13,13,14
3,electrumBar:50,1920,electrumBar,50,100,100,1920,0,50,0,0.028125,0,75,0,386.866125,experience:60,60,74
4,piercing:861,3952,piercing,861,100,100,3952,0,0,0,0.073865741,0,75,0,395.8331399,experience:140,140,214
5,electrumBar:75,9094,electrumBar,75,100,100,9094,0,75,0,0.17912037,0,150,0,797.8197577,experience:240,240,454
6,piercing:1894,14580,piercing,1894,100,100,14580,0,0,0,0.34787037,0,150,0,830.901508,experience:405,405,859
7,electrumBar:100,23040,electrumBar,100,100,100,23040,0,100,0,0.614537037,0,250,0,1391.648842,experience:600,600,1459
8,piercing:3714,28800,piercing,3714,100,100,28800,0,0,0,0.94787037,0,250,0,1456.995509,experience:600,600,2059
9,electrumBar:150,35100,electrumBar,150,100,100,35100,0,150,0,1.35412037,0,400,0,2299.34176,experience:750,750,2809
10,piercing:8712,41559,piercing,8712,100,100,41559,0,0,0,1.835127315,0,400,0,2393.638362,experience:912,912,3721
11,electrumBar:200,51896,electrumBar,200,100,100,51896,0,200,0,2.435775463,0,600,0,3528.329426,experience:936,936,4657
12,piercing:17819,66355,piercing,17819,100,100,66355,0,0,0,3.203773148,0,600,0,3678.887693,experience:1280,1280,5937
13,electrumBar:250,103561,electrumBar,250,100,100,103561,0,250,0,4.402395833,0,850,0,5185.040686,experience:1644,1644,7581
14,piercing:38115,137915,piercing,38115,100,100,137915,0,0,0,5.998634259,0,850,0,5497.96727,experience:1691,1691,9272
15,electrumBar:300,177093,electrumBar,300,100,100,177093,0,300,0,8.048321759,0,1150,0,7425.198011,experience:2087,2087,11359
16,piercing:57617,219927,piercing,57617,100,100,219927,0,0,0,10.59377315,0,1150,0,7924.208305,experience:2546,2546,13905
17,electrumBar:350,297600,electrumBar,350,100,100,297600,0,350,0,14.03821759,0,1500,0,10379.1022,experience:3048,3048,16953
18,piercing:86400,345600,piercing,86400,100,100,345600,0,0,0,18.03821759,0,1500,0,11163.26221,experience:4000,4000,20953
19,electrumBar:400,388800,electrumBar,400,100,100,388800,0,400,0,22.53821759,0,1900,0,14079.32221,experience:5334,5334,26287
20,piercing:154799,432000,piercing,154799,100,100,432000,0,0,0,27.53821759,0,1900,0,15059.52222,experience:7000,7000,33287
21,electrumBar:450,518400,electrumBar,450,100,100,518400,0,450,0,33.53821759,0,2350,0,18523.87723,experience:9143,9143,42430
22,piercing:219599,604800,piercing,219599,100,100,604800,0,0,0,40.53821759,0,2350,0,19896.15724,experience:12000,12000,54430
