level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,time_culmative(days),elementalEmber_culmative,electrumBar_culmative,cosmicCharge_culmative,culmative_rubble,upgradeReward,XP,XP_culmative
1,electrumBar:75,60,electrumBar,75,100,100,60,0,75,0,0.000694444,0,75,0,381.4886389,experience:1,1,1
2,piercing:208,450,piercing,208,100,100,450,0,0,0,0.005902778,0,75,0,382.5096806,experience:13,13,14
3,electrumBar:150,1920,electrumBar,150,100,100,1920,0,150,0,0.028125,0,225,0,1149.571125,experience:60,60,74
4,piercing:861,3952,piercing,861,100,100,3952,0,0,0,0.073865741,0,225,0,1158.53814,experience:140,140,214
5,electrumBar:225,9094,electrumBar,225,100,100,9094,0,225,0,0.17912037,0,450,0,2323.229758,experience:240,240,454
6,piercing:1894,14580,piercing,1894,100,100,14580,0,0,0,0.34787037,0,450,0,2356.311508,experience:405,405,859
7,electrumBar:300,23040,electrumBar,300,100,100,23040,0,300,0,0.614537037,0,750,0,3933.998842,experience:600,600,1459
8,piercing:3714,28800,piercing,3714,100,100,28800,0,0,0,0.94787037,0,750,0,3999.345509,experience:600,600,2059
9,electrumBar:450,35100,electrumBar,450,100,100,35100,0,450,0,1.35412037,0,1200,0,6367.10176,experience:750,750,2809
10,piercing:8712,41559,piercing,8712,100,100,41559,0,0,0,1.835127315,0,1200,0,6461.398362,experience:912,912,3721
11,electrumBar:600,51896,electrumBar,600,50,50,25948,0,300,0,2.135451389,0,1500,0,8045.683894,experience:936,936,4657
12,piercing:17819,66355,piercing,17819,50,50,33177.5,0,0,0,2.519450231,0,1500,0,8120.963027,experience:1280,1280,5937
13,electrumBar:750,103561,electrumBar,750,50,50,51780.5,0,375,0,3.118761574,0,1875,0,10145.21452,experience:1644,1644,7581
14,piercing:38115,137915,piercing,38115,50,50,68957.5,0,0,0,3.916880787,0,1875,0,10301.67782,experience:1691,1691,9272
15,electrumBar:900,177093,electrumBar,900,50,50,88546.5,0,450,0,4.941724537,0,2325,0,12790.70319,experience:2087,2087,11359
16,piercing:57617,219927,piercing,57617,50,50,109963.5,0,0,0,6.214450231,0,2325,0,13040.20833,experience:2546,2546,13905
17,electrumBar:1050,297600,electrumBar,1050,50,50,148800,0,525,0,7.936672454,0,2850,0,16047.30028,experience:3048,3048,16953
18,piercing:86400,345600,piercing,86400,50,50,172800,0,0,0,9.936672454,0,2850,0,16439.38028,experience:4000,4000,20953
19,electrumBar:1200,388800,electrumBar,1200,50,10,38880,0,600,0,10.38667245,0,3450,0,19578.41828,experience:5334,5334,26287
20,piercing:154799,432000,piercing,154799,50,10,43200,0,0,0,10.88667245,0,3450,0,19676.43829,experience:7000,7000,33287
