level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,time_culmative(days),elementalEmber_culmative,electrumBar_culmative,cosmicCharge_culmative,culmative_rubble,upgradeReward,XP,XP_culmative
1,elementalEmber:100,990,elementalEmber,100,100,100,990,100,0,0,0.011458333,100,0,0,341.2262917,experience:1,1,1
2,piercing:208,3510,piercing,208,100,100,3510,0,0,0,0.052083333,100,0,0,349.1904168,experience:13,13,14
3,elementalEmber:200,7200,elementalEmber,200,100,100,7200,200,0,0,0.135416667,300,0,0,1043.487084,experience:60,60,74
4,piercing:861,10800,piercing,861,100,100,10800,0,0,0,0.260416667,300,0,0,1067.992084,experience:140,140,214
5,elementalEmber:300,16200,elementalEmber,300,100,100,16200,300,0,0,0.447916667,600,0,0,2121.689584,experience:240,240,454
6,piercing:1894,21600,piercing,1894,100,100,21600,0,0,0,0.697916667,600,0,0,2170.699584,experience:405,405,859
7,elementalEmber:400,28800,elementalEmber,400,100,100,28800,400,0,0,1.03125,1000,0,0,3591.966252,experience:600,600,1459
8,piercing:3714,36000,piercing,3714,100,100,36000,0,0,0,1.447916667,1000,0,0,3673.649586,experience:600,600,2059
9,elementalEmber:600,43200,elementalEmber,600,100,100,43200,600,0,0,1.947916667,1600,0,0,5805.549586,experience:750,750,2809
10,piercing:8712,57600,piercing,8712,100,100,57600,0,0,0,2.614583333,1600,0,0,5936.242921,experience:912,912,3721
11,elementalEmber:800,72000,elementalEmber,800,50,50,36000,400,0,0,3.03125,2000,0,0,7373.846255,experience:936,936,4657
12,piercing:17819,86400,piercing,17819,50,50,43200,0,0,0,3.53125,2000,0,0,7471.866256,experience:1280,1280,5937
13,elementalEmber:1000,129600,elementalEmber,1000,50,50,64800,500,0,0,4.28125,2500,0,0,9313.796257,experience:1644,1644,7581
14,piercing:38115,172800,piercing,38115,50,50,86400,0,0,0,5.28125,2500,0,0,9509.836258,experience:1691,1691,9272
15,elementalEmber:1200,216000,elementalEmber,1200,50,50,108000,600,0,0,6.53125,3100,0,0,11788.76626,experience:2087,2087,11359
16,piercing:57617,259200,piercing,57617,50,50,129600,0,0,0,8.03125,3100,0,0,12082.82626,experience:2546,2546,13905
17,elementalEmber:1400,302400,elementalEmber,1400,50,50,151200,700,0,0,9.78125,3800,0,0,14798.75627,experience:3048,3048,16953
18,piercing:86400,345600,piercing,86400,50,50,172800,0,0,0,11.78125,3800,0,0,15190.83627,experience:4000,4000,20953
19,elementalEmber:1600,388800,elementalEmber,1600,50,10,38880,800,0,0,12.23125,4600,0,0,17990.89427,experience:5334,5334,26287
20,piercing:154799,432000,piercing,154799,50,10,43200,0,0,0,12.73125,4600,0,0,18088.91427,experience:7000,7000,33287
21,elementalEmber:1800,518400,elementalEmber,1800,50,10,51840,900,0,0,13.33125,5500,0,0,21257.35827,experience:9143,9143,42430
22,piercing:219599,604800,piercing,219599,50,10,60480,0,0,0,14.03125,5500,0,0,21394.58627,experience:12000,12000,54430
23,elementalEmber:2000,691200,elementalEmber,2000,50,10,69120,1000,0,0,14.83125,6500,0,0,24941.21827,experience:16000,16000,70430
24,piercing:269232,864000,piercing,269232,50,10,86400,0,0,0,15.83125,6500,0,0,25137.25828,experience:17600,17600,88030
25,elementalEmber:2200,864000,elementalEmber,2200,50,10,86400,1100,0,0,16.83125,7600,0,0,29062.07828,experience:19200,19200,107230
26,piercing:340800,936000,piercing,340800,50,10,93600,0,0,0,17.91458333,7600,0,0,29274.45495,experience:20800,20800,128030
27,elementalEmber:2400,1080000,elementalEmber,2400,50,10,108000,1200,0,0,19.16458333,8800,0,0,33587.26495,experience:24000,24000,152030
28,piercing:422592,1152000,piercing,422592,50,10,115200,0,0,0,20.49791667,8800,0,0,33848.65162,experience:25600,25600,177630
29,elementalEmber:2600,1224000,elementalEmber,2600,50,10,122400,1300,0,0,21.91458333,10100,0,0,38533.11495,experience:27200,27200,204830
30,piercing:504384,1224000,piercing,504384,50,10,122400,0,0,0,23.33125,10100,0,0,38810.83829,experience:30400,30400,235230
31,elementalEmber:2800,1370990,elementalEmber,2800,50,10,137099,1400,0,0,24.91804398,11500,0,0,43867.63338,experience:32000,32000,267230
32,piercing:586176,1468800,piercing,586176,50,10,146880,0,0,0,26.61804398,11500,0,0,44200.90138,experience:33600,33600,300830
33,elementalEmber:3000,1566720,elementalEmber,3000,50,10,156672,1500,0,0,28.43137731,13000,0,0,49641.08725,experience:33600,33600,334430
34,piercing:667968,1664640,piercing,667968,50,10,166464,0,0,0,30.35804398,13000,0,0,50018.79099,experience:33600,33600,368030
35,elementalEmber:3200,1762560,elementalEmber,3200,50,10,176256,1600,0,0,32.39804398,14600,0,0,55842.39259,experience:33600,33600,401630
36,piercing:749760,1762560,piercing,749760,50,10,176256,0,0,0,34.43804398,14600,0,0,56242.3142,experience:33600,33600,435230
37,elementalEmber:3400,1762560,elementalEmber,3400,50,10,176256,1700,0,0,36.47804398,16300,0,0,62404.8958,experience:33600,33600,468830
38,piercing:831552,1762560,piercing,831552,50,10,176256,0,0,0,38.51804398,16300,0,0,62804.8174,experience:33600,33600,502430
39,elementalEmber:3600,1762560,elementalEmber,3600,50,10,176256,1800,0,0,40.55804398,18100,0,0,69306.37901,experience:33600,33600,536030
40,piercing:913344,1762560,piercing,913344,50,10,176256,0,0,0,42.59804398,18100,0,0,69706.30061,experience:33600,33600,569630
41,elementalEmber:3800,2290604,elementalEmber,3800,50,10,229060.4,1900,0,0,45.24920602,20000,0,0,76666.65442,experience:35349,35349,604979
42,piercing:995136,2743903,piercing,995136,50,10,274390.3,0,0,0,48.42501968,20000,0,0,77289.24093,experience:42345,42345,647324
43,elementalEmber:4000,3197201,elementalEmber,4000,50,10,319720.1,2000,0,0,52.1254838,22000,0,0,84794.27993,experience:49340,49340,696664
44,piercing:1076928,3650500,piercing,1076928,50,10,365050,0,0,0,56.35059954,22000,0,0,85622.57162,experience:56335,56335,752999
45,elementalEmber:4200,4103799,elementalEmber,4200,50,10,410379.9,2100,0,0,61.1003669,24100,0,0,93672.29602,experience:63331,63331,816330
46,piercing:1158720,4177339,piercing,1158720,50,10,417733.9,0,0,0,65.93525,24100,0,0,94620.12652,experience:70326,70326,886656
47,elementalEmber:4400,4314507,elementalEmber,4400,50,10,431450.7,2200,0,0,70.92889236,26300,0,0,103056.6402,experience:77321,77321,963977
48,piercing:1240512,4553079,piercing,1240512,50,10,455307.9,0,0,0,76.19865972,26300,0,0,104089.7254,experience:84317,84317,1048294
49,elementalEmber:4600,4602106,elementalEmber,4600,50,10,460210.6,2300,0,0,81.5251713,28600,0,0,112930.4747,experience:91312,91312,1139606
50,piercing:1322304,4777719,piercing,1322304,50,10,477771.9,0,0,0,87.05493866,28600,0,0,114014.5303,experience:98307,98307,1237913
51,elementalEmber:4800,5000000,elementalEmber,4800,50,10,500000,2400,0,0,92.84197569,31000,0,0,123284.5411,experience:101805,101805,1339718
52,piercing:1363200,5000000,piercing,1363200,50,10,500000,0,0,0,98.62901273,31000,0,0,124419.0318,experience:105303,105303,1445021
53,elementalEmber:5000,5000000,elementalEmber,5000,50,10,500000,2500,0,0,104.4160498,33500,0,0,134028.0226,experience:106000,106000,1551021
54,piercing:1404096,5000000,piercing,1404096,50,10,500000,0,0,0,110.2030868,33500,0,0,135162.5133,experience:106000,106000,1657021
55,elementalEmber:5200,5000000,elementalEmber,5200,50,10,500000,2600,0,0,115.9901238,36100,0,0,145110.4841,experience:106000,106000,1763021
56,piercing:1444992,5000000,piercing,1444992,50,10,500000,0,0,0,121.7771609,36100,0,0,146244.9748,experience:106000,106000,1869021
57,elementalEmber:5400,5000000,elementalEmber,5400,50,10,500000,2700,0,0,127.5641979,38800,0,0,156531.9256,experience:106000,106000,1975021
58,piercing:1485888,5000000,piercing,1485888,50,10,500000,0,0,0,133.351235,38800,0,0,157666.4163,experience:106000,106000,2081021
59,elementalEmber:5600,5000000,elementalEmber,5600,50,10,500000,2800,0,0,139.138272,41600,0,0,168292.3471,experience:106000,106000,2187021
60,piercing:1526784,5000000,piercing,1526784,50,10,500000,0,0,0,144.925309,41600,0,0,169426.8378,experience:106000,106000,2293021
61,elementalEmber:5800,5000000,elementalEmber,5800,50,10,500000,2900,0,0,150.7123461,44500,0,0,180391.7486,experience:106000,106000,2399021
62,piercing:1772160,5000000,piercing,1772160,50,10,500000,0,0,0,156.4993831,44500,0,0,181526.2393,experience:106000,106000,2505021
63,elementalEmber:6000,5000000,elementalEmber,6000,50,10,500000,3000,0,0,162.2864201,47500,0,0,192830.1301,experience:106000,106000,2611021
64,piercing:1813056,5000000,piercing,1813056,50,10,500000,0,0,0,168.0734572,47500,0,0,193964.6208,experience:106000,106000,2717021
65,elementalEmber:6200,5000000,elementalEmber,6200,50,10,500000,3100,0,0,173.8604942,50600,0,0,205607.4916,experience:106000,106000,2823021
66,piercing:1853952,5000000,piercing,1853952,50,10,500000,0,0,0,179.6475313,50600,0,0,206741.9823,experience:106000,106000,2929021
67,elementalEmber:6400,5000000,elementalEmber,6400,50,10,500000,3200,0,0,185.4345683,53800,0,0,218723.8331,experience:106000,106000,3035021
68,piercing:1894848,5000000,piercing,1894848,50,10,500000,0,0,0,191.2216053,53800,0,0,219858.3238,experience:106000,106000,3141021
69,elementalEmber:6600,5000000,elementalEmber,6600,50,10,500000,3300,0,0,197.0086424,57100,0,0,232179.1546,experience:106000,106000,3247021
70,piercing:1935744,5000000,piercing,1935744,50,10,500000,0,0,0,202.7956794,57100,0,0,233313.6453,experience:106000,106000,3353021
71,elementalEmber:6900,5000000,elementalEmber,6900,50,10,500000,3450,0,0,208.5827164,60550,0,0,246142.9461,experience:106000,106000,3459021
72,piercing:1976640,5000000,piercing,1976640,50,10,500000,0,0,0,214.3697535,60550,0,0,247277.4368,experience:106000,106000,3565021
73,elementalEmber:7200,5000000,elementalEmber,7200,50,10,500000,3600,0,0,220.1567905,64150,0,0,260615.2076,experience:106000,106000,3671021
74,piercing:2017536,5000000,piercing,2017536,50,10,500000,0,0,0,225.9438275,64150,0,0,261749.6983,experience:106000,106000,3777021
75,elementalEmber:7500,5000000,elementalEmber,7500,50,10,500000,3750,0,0,231.7308646,67900,0,0,275595.9391,experience:106000,106000,3883021
76,piercing:2058432,5000000,piercing,2058432,50,10,500000,0,0,0,237.5179016,67900,0,0,276730.4298,experience:106000,106000,3989021
77,elementalEmber:7800,5000000,elementalEmber,7800,50,10,500000,3900,0,0,243.3049387,71800,0,0,291085.1406,experience:106000,106000,4095021
