level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,time_culmative(days),elementalEmber_culmative,electrumBar_culmative,cosmicCharge_culmative,culmative_rubble,upgradeReward,XP,XP_culmative
1,piercing:12,990,piercing,12,100,100,990,0,0,0,0.011458333,0,0,0,2.246291685,experience:28,28,28
2,piercing:208,3510,piercing,208,100,100,3510,0,0,0,0.052083333,0,0,0,10.21041675,experience:98,98,126
3,piercing:463,7200,piercing,463,100,100,7200,0,0,0,0.135416667,0,0,0,26.54708355,experience:225,225,351
4,piercing:861,10800,piercing,861,100,100,10800,0,0,0,0.260416667,0,0,0,51.05208375,experience:383,383,734
5,piercing:1463,16200,piercing,1463,100,100,16200,0,0,0,0.447916667,0,0,0,87.80958405,experience:428,428,1162
6,piercing:1894,21600,piercing,1894,100,100,21600,0,0,0,0.697916667,0,0,0,136.8195845,experience:600,600,1762
7,piercing:2698,28800,piercing,2698,100,100,28800,0,0,0,1.03125,0,0,0,202.1662517,experience:750,750,2512
8,piercing:3714,36000,piercing,3714,100,100,36000,0,0,0,1.447916667,0,0,0,283.8495857,experience:750,750,3262
9,piercing:5703,43200,piercing,5703,100,100,43200,0,0,0,1.947916667,0,0,0,381.8695865,experience:924,924,4186
10,piercing:8712,57600,piercing,8712,100,100,57600,0,0,0,2.614583333,0,0,0,512.5629209,experience:1264,1264,5450
11,piercing:12869,72000,piercing,12869,50,50,36000,0,0,0,3.03125,0,0,0,594.2462549,experience:1298,1298,6748
12,piercing:17819,86400,piercing,17819,50,50,43200,0,0,0,3.53125,0,0,0,692.2662557,experience:1667,1667,8415
13,piercing:26927,129600,piercing,26927,50,50,64800,0,0,0,4.28125,0,0,0,839.2962569,experience:2058,2058,10473
14,piercing:38115,172800,piercing,38115,50,50,86400,0,0,0,5.28125,0,0,0,1035.336258,experience:2118,2118,12591
15,piercing:51677,216000,piercing,51677,50,50,108000,0,0,0,6.53125,0,0,0,1280.38626,experience:2546,2546,15137
16,piercing:57617,259200,piercing,57617,50,50,129600,0,0,0,8.03125,0,0,0,1574.446263,experience:3000,3000,18137
17,piercing:77039,302400,piercing,77039,50,50,151200,0,0,0,9.78125,0,0,0,1917.516266,experience:3097,3097,21234
18,piercing:86400,345600,piercing,86400,50,50,172800,0,0,0,11.78125,0,0,0,2309.596269,experience:4000,4000,25234
19,piercing:129598,388800,piercing,129598,50,10,38880,0,0,0,12.23125,0,0,0,2397.81427,experience:5334,5334,30568
20,piercing:154799,432000,piercing,154799,50,10,43200,0,0,0,12.73125,0,0,0,2495.83427,experience:7000,7000,37568
21,piercing:187199,518400,piercing,187199,50,10,51840,0,0,0,13.33125,0,0,0,2613.458271,experience:9143,9143,46711
22,piercing:219599,604800,piercing,219599,50,10,60480,0,0,0,14.03125,0,0,0,2750.686272,experience:12000,12000,58711
23,piercing:251999,691200,piercing,251999,50,10,69120,0,0,0,14.83125,0,0,0,2907.518274,experience:16000,16000,74711
24,piercing:269232,864000,piercing,269232,50,10,86400,0,0,0,15.83125,0,0,0,3103.558275,experience:17600,17600,92311
