level,String,upgradeTimeInSeconds,currency,amount,towerConstructionCostEfectivity,towerConstructionTimeEfectivity,time_opt,elementalEmber_opt,electrumBar_opt,cosmicCharge_opt,time_culmative(days),elementalEmber_culmative,electrumBar_culmative,cosmicCharge_culmative,culmative_rubble,upgradeReward,XP,XP_culmative
1,electrumBar:75,990,electrumBar,75,100,100,990,0,75,0,0.011458333,0,75,0,383.5987917,experience:28,28,28
2,piercing:208,3510,piercing,208,100,100,3510,0,0,0,0.052083333,0,75,0,391.5629168,experience:98,98,126
3,electrumBar:150,7200,electrumBar,150,100,100,7200,0,150,0,0.135416667,0,225,0,1170.604584,experience:225,225,351
4,piercing:861,10800,piercing,861,100,100,10800,0,0,0,0.260416667,0,225,0,1195.109584,experience:383,383,734
5,electrumBar:225,16200,electrumBar,225,100,100,16200,0,225,0,0.447916667,0,450,0,2375.924584,experience:428,428,1162
6,piercing:1894,21600,piercing,1894,100,100,21600,0,0,0,0.697916667,0,450,0,2424.934584,experience:600,600,1762
7,electrumBar:300,28800,electrumBar,300,100,100,28800,0,300,0,1.03125,0,750,0,4015.691252,experience:750,750,2512
8,piercing:3714,36000,piercing,3714,100,100,36000,0,0,0,1.447916667,0,750,0,4097.374586,experience:750,750,3262
9,electrumBar:450,43200,electrumBar,450,100,100,43200,0,450,0,1.947916667,0,1200,0,6483.509586,experience:924,924,4186
10,piercing:8712,57600,piercing,8712,100,100,57600,0,0,0,2.614583333,0,1200,0,6614.202921,experience:1264,1264,5450
11,electrumBar:600,72000,electrumBar,600,50,50,36000,0,300,0,3.03125,0,1500,0,8221.296255,experience:1298,1298,6748
12,piercing:17819,86400,piercing,17819,50,50,43200,0,0,0,3.53125,0,1500,0,8319.316256,experience:1667,1667,8415
13,electrumBar:750,129600,electrumBar,750,50,50,64800,0,375,0,4.28125,0,1875,0,10373.10876,experience:2058,2058,10473
14,piercing:38115,172800,piercing,38115,50,50,86400,0,0,0,5.28125,0,1875,0,10569.14876,experience:2118,2118,12591
15,electrumBar:900,216000,electrumBar,900,50,50,108000,0,450,0,6.53125,0,2325,0,13102.31376,experience:2546,2546,15137
16,piercing:57617,259200,piercing,57617,50,50,129600,0,0,0,8.03125,0,2325,0,13396.37376,experience:3000,3000,18137
17,electrumBar:1050,302400,electrumBar,1050,50,50,151200,0,525,0,9.78125,0,2850,0,16408.91127,experience:3097,3097,21234
18,piercing:86400,345600,piercing,86400,50,50,172800,0,0,0,11.78125,0,2850,0,16800.99127,experience:4000,4000,25234
